0.0000000E+00	1.5548212E-01
2.0426889E-04	6.6446765E+02
4.0631620E-04	1.6489758E+03
6.0804841E-04	2.5020041E+03
8.1075715E-04	3.3373937E+03
1.0141357E-03	3.9986313E+03
1.2019446E-03	4.5120140E+03
1.4052493E-03	5.0593578E+03
1.6083070E-03	5.5936983E+03
1.8110425E-03	6.1273728E+03
2.0134500E-03	6.6750559E+03
2.2154773E-03	7.2301431E+03
2.4015819E-03	7.7458165E+03
2.6027192E-03	8.3056148E+03
2.8032901E-03	8.8656860E+03
3.0032296E-03	9.4231802E+03
3.2024777E-03	9.9761523E+03
3.4009810E-03	1.0522291E+04
3.6138784E-03	1.1102054E+04
3.8107138E-03	1.1632754E+04
4.0066204E-03	1.2156138E+04
