0.002200 7.530440e+03  6.992214e+03 2.833838e+03
0.002220 7.610054e+03  7.055779e+03 2.859600e+03
0.002240 7.679375e+03  7.119345e+03 2.885362e+03
0.002260 7.763661e+03  7.182911e+03 2.911124e+03
0.002280 7.824248e+03  7.246476e+03 2.936886e+03
0.002300 7.907202e+03  7.310042e+03 2.962648e+03
0.002320 7.982523e+03  7.373607e+03 2.988410e+03
0.002340 8.046511e+03  7.437173e+03 3.014173e+03
0.002360 8.115278e+03  7.500738e+03 3.039935e+03
0.002380 8.157847e+03  7.564304e+03 3.065697e+03
0.002400 8.215911e+03  7.627870e+03 3.091459e+03
0.002420 8.241105e+03  7.691435e+03 3.117221e+03
0.002440 8.297829e+03  7.755001e+03 3.142983e+03
0.002460 8.337986e+03  7.818566e+03 3.168746e+03
0.002480 8.375799e+03  7.882132e+03 3.194508e+03
0.002500 8.427065e+03  7.945698e+03 3.220270e+03
0.002520 8.466960e+03  8.009263e+03 3.246032e+03
0.002540 8.521120e+03  8.072829e+03 3.271794e+03
0.002560 8.557950e+03  8.136394e+03 3.297556e+03
0.002580 8.625688e+03  8.199960e+03 3.323319e+03
0.002600 8.679527e+03  8.263525e+03 3.349081e+03
0.002620 8.720464e+03  8.327091e+03 3.374843e+03
0.002640 8.776231e+03  8.390657e+03 3.400605e+03
0.002660 8.816415e+03  8.454222e+03 3.426367e+03
0.002680 8.876613e+03  8.517788e+03 3.452129e+03
0.002700 8.916133e+03  8.581353e+03 3.477892e+03
0.002720 8.978022e+03  8.644919e+03 3.503654e+03
0.002740 9.031856e+03  8.708485e+03 3.529416e+03
0.002760 9.082477e+03  8.772050e+03 3.555178e+03
0.002780 9.151804e+03  8.835616e+03 3.580940e+03
0.002800 9.203464e+03  8.899181e+03 3.606702e+03
0.002820 9.271264e+03  8.962747e+03 3.632464e+03
0.002840 9.317325e+03  9.026312e+03 3.658227e+03
0.002860 9.385781e+03  9.089878e+03 3.683989e+03
0.002880 9.447071e+03  9.153444e+03 3.709751e+03
0.002900 9.503588e+03  9.217009e+03 3.735513e+03
0.002920 9.578436e+03  9.280575e+03 3.761275e+03
0.002940 9.633440e+03  9.344140e+03 3.787037e+03
0.002960 9.704562e+03  9.407706e+03 3.812800e+03
0.002980 9.751360e+03  9.471271e+03 3.838562e+03
0.003000 9.833293e+03  9.534837e+03 3.864324e+03
0.003020 9.902270e+03  9.598403e+03 3.890086e+03
0.003040 9.961482e+03  9.661968e+03 3.915848e+03
0.003060 1.002562e+04  9.725534e+03 3.941610e+03
0.003080 1.009431e+04  9.789099e+03 3.967373e+03
0.003100 1.016516e+04  9.852665e+03 3.993135e+03
0.003120 1.021630e+04  9.916231e+03 4.018897e+03
0.003140 1.029404e+04  9.979796e+03 4.044659e+03
0.003160 1.035466e+04  1.004336e+04 4.070421e+03
0.003180 1.041059e+04  1.010693e+04 4.096183e+03
0.003200 1.047736e+04  1.017049e+04 4.121946e+03
0.003220 1.054574e+04  1.023406e+04 4.147708e+03
0.003240 1.061884e+04  1.029762e+04 4.173470e+03
0.003260 1.067013e+04  1.036119e+04 4.199232e+03
0.003280 1.075100e+04  1.042476e+04 4.224994e+03
0.003300 1.082639e+04  1.048832e+04 4.250756e+03
0.003320 1.089038e+04  1.055189e+04 4.276518e+03
0.003340 1.096622e+04  1.061545e+04 4.302281e+03
0.003360 1.102355e+04  1.067902e+04 4.328043e+03
0.003380 1.111018e+04  1.074258e+04 4.353805e+03
0.003400 1.118029e+04  1.080615e+04 4.379567e+03
0.003420 1.126910e+04  1.086971e+04 4.405329e+03
0.003440 1.133784e+04  1.093328e+04 4.431091e+03
0.003460 1.140729e+04  1.099685e+04 4.456854e+03
0.003480 1.149704e+04  1.106041e+04 4.482616e+03
0.003500 1.155962e+04  1.112398e+04 4.508378e+03
0.003520 1.163978e+04  1.118754e+04 4.534140e+03
0.003540 1.172095e+04  1.125111e+04 4.559902e+03
0.003560 1.179953e+04  1.131467e+04 4.585664e+03
0.003580 1.187287e+04  1.137824e+04 4.611427e+03
0.003600 1.194210e+04  1.144180e+04 4.637189e+03
0.003620 1.202408e+04  1.150537e+04 4.662951e+03
0.003640 1.209509e+04  1.156894e+04 4.688713e+03
0.003660 1.218802e+04  1.163250e+04 4.714475e+03
0.003680 1.227145e+04  1.169607e+04 4.740237e+03
0.003700 1.233863e+04  1.175963e+04 4.765999e+03
0.003720 1.241270e+04  1.182320e+04 4.791762e+03
0.003740 1.249206e+04  1.188676e+04 4.817524e+03
0.003760 1.258705e+04  1.195033e+04 4.843286e+03
0.003780 1.265281e+04  1.201389e+04 4.869048e+03
0.003800 1.273328e+04  1.207746e+04 4.894810e+03
0.003820 1.281748e+04  1.214103e+04 4.920572e+03
0.003840 1.289806e+04  1.220459e+04 4.946335e+03
