0.000000 0.000000e+00  -0.000000e+00 -0.000000e+00
0.000020 4.301419e+02  6.356558e+01 2.576216e+01
0.000040 8.448567e+02  1.271312e+02 5.152432e+01
0.000060 1.116305e+03  1.906967e+02 7.728648e+01
0.000080 1.234453e+03  2.542623e+02 1.030486e+02
0.000100 1.354488e+03  3.178279e+02 1.288108e+02
0.000120 1.470186e+03  3.813935e+02 1.545730e+02
0.000140 1.590830e+03  4.449591e+02 1.803351e+02
0.000160 1.714742e+03  5.085246e+02 2.060973e+02
0.000180 1.837970e+03  5.720902e+02 2.318594e+02
0.000200 1.967793e+03  6.356558e+02 2.576216e+02
0.000220 2.090331e+03  6.992214e+02 2.833838e+02
0.000240 2.209190e+03  7.627870e+02 3.091459e+02
0.000260 2.320775e+03  8.263525e+02 3.349081e+02
0.000280 2.393160e+03  8.899181e+02 3.606702e+02
0.000300 2.462779e+03  9.534837e+02 3.864324e+02
0.000320 2.490085e+03  1.017049e+03 4.121946e+02
0.000340 2.513679e+03  1.080615e+03 4.379567e+02
0.000360 2.496037e+03  1.144180e+03 4.637189e+02
0.000380 2.478799e+03  1.207746e+03 4.894810e+02
0.000400 2.445479e+03  1.271312e+03 5.152432e+02
0.000420 2.393005e+03  1.334877e+03 5.410053e+02
0.000440 2.351042e+03  1.398443e+03 5.667675e+02
0.000460 2.302543e+03  1.462008e+03 5.925297e+02
0.000480 2.277718e+03  1.525574e+03 6.182918e+02
0.000500 2.255350e+03  1.589140e+03 6.440540e+02
0.000520 2.264196e+03  1.652705e+03 6.698161e+02
0.000540 2.296590e+03  1.716271e+03 6.955783e+02
0.000560 2.333020e+03  1.779836e+03 7.213405e+02
0.000580 2.405479e+03  1.843402e+03 7.471026e+02
0.000600 2.479324e+03  1.906967e+03 7.728648e+02
0.000620 2.583678e+03  1.970533e+03 7.986269e+02
0.000640 2.680933e+03  2.034099e+03 8.243891e+02
0.000660 2.798948e+03  2.097664e+03 8.501513e+02
0.000680 2.916127e+03  2.161230e+03 8.759134e+02
0.000700 3.016228e+03  2.224795e+03 9.016756e+02
0.000720 3.120827e+03  2.288361e+03 9.274377e+02
0.000740 3.202131e+03  2.351926e+03 9.531999e+02
0.000760 3.284146e+03  2.415492e+03 9.789621e+02
0.000780 3.338863e+03  2.479058e+03 1.004724e+03
0.000800 3.392967e+03  2.542623e+03 1.030486e+03
0.000820 3.436560e+03  2.606189e+03 1.056249e+03
0.000840 3.452831e+03  2.669754e+03 1.082011e+03
0.000860 3.476358e+03  2.733320e+03 1.107773e+03
0.000880 3.478265e+03  2.796886e+03 1.133535e+03
0.000900 3.494163e+03  2.860451e+03 1.159297e+03
0.000920 3.493260e+03  2.924017e+03 1.185059e+03
0.000940 3.511329e+03  2.987582e+03 1.210821e+03
0.000960 3.534133e+03  3.051148e+03 1.236584e+03
0.000980 3.549298e+03  3.114713e+03 1.262346e+03
0.001000 3.586556e+03  3.178279e+03 1.288108e+03
0.001020 3.624319e+03  3.241845e+03 1.313870e+03
0.001040 3.685477e+03  3.305410e+03 1.339632e+03
0.001060 3.734339e+03  3.368976e+03 1.365394e+03
0.001080 3.810568e+03  3.432541e+03 1.391157e+03
0.001100 3.889266e+03  3.496107e+03 1.416919e+03
0.001120 3.960734e+03  3.559673e+03 1.442681e+03
0.001140 4.051014e+03  3.623238e+03 1.468443e+03
0.001160 4.122816e+03  3.686804e+03 1.494205e+03
0.001180 4.214723e+03  3.750369e+03 1.519967e+03
0.001200 4.284317e+03  3.813935e+03 1.545730e+03
0.001220 4.371287e+03  3.877500e+03 1.571492e+03
0.001240 4.449735e+03  3.941066e+03 1.597254e+03
0.001260 4.512387e+03  4.004632e+03 1.623016e+03
0.001280 4.586395e+03  4.068197e+03 1.648778e+03
0.001300 4.633119e+03  4.131763e+03 1.674540e+03
0.001320 4.698191e+03  4.195328e+03 1.700303e+03
0.001340 4.751099e+03  4.258894e+03 1.726065e+03
0.001360 4.793197e+03  4.322459e+03 1.751827e+03
0.001380 4.841278e+03  4.386025e+03 1.777589e+03
0.001400 4.879472e+03  4.449591e+03 1.803351e+03
0.001420 4.932775e+03  4.513156e+03 1.829113e+03
0.001440 4.965005e+03  4.576722e+03 1.854875e+03
0.001460 5.021648e+03  4.640287e+03 1.880638e+03
0.001480 5.074383e+03  4.703853e+03 1.906400e+03
0.001500 5.120948e+03  4.767419e+03 1.932162e+03
0.001520 5.181967e+03  4.830984e+03 1.957924e+03
0.001540 5.235598e+03  4.894550e+03 1.983686e+03
0.001560 5.310017e+03  4.958115e+03 2.009448e+03
0.001580 5.364902e+03  5.021681e+03 2.035211e+03
0.001600 5.446513e+03  5.085246e+03 2.060973e+03
0.001620 5.522874e+03  5.148812e+03 2.086735e+03
0.001640 5.592389e+03  5.212378e+03 2.112497e+03
0.001660 5.672459e+03  5.275943e+03 2.138259e+03
0.001680 5.742852e+03  5.339509e+03 2.164021e+03
0.001700 5.828058e+03  5.403074e+03 2.189784e+03
0.001720 5.890999e+03  5.466640e+03 2.215546e+03
0.001740 5.974196e+03  5.530205e+03 2.241308e+03
0.001760 6.049505e+03  5.593771e+03 2.267070e+03
0.001780 6.112170e+03  5.657337e+03 2.292832e+03
0.001800 6.183942e+03  5.720902e+03 2.318594e+03
0.001820 6.241957e+03  5.784468e+03 2.344357e+03
0.001840 6.315886e+03  5.848033e+03 2.370119e+03
0.001860 6.363897e+03  5.911599e+03 2.395881e+03
0.001880 6.435937e+03  5.975165e+03 2.421643e+03
0.001900 6.498541e+03  6.038730e+03 2.447405e+03
0.001920 6.553408e+03  6.102296e+03 2.473167e+03
0.001940 6.617472e+03  6.165861e+03 2.498929e+03
0.001960 6.673397e+03  6.229427e+03 2.524692e+03
0.001980 6.746124e+03  6.292992e+03 2.550454e+03
0.002000 6.798187e+03  6.356558e+03 2.576216e+03
0.002020 6.875027e+03  6.420124e+03 2.601978e+03
0.002040 6.947331e+03  6.483689e+03 2.627740e+03
0.002060 7.011153e+03  6.547255e+03 2.653502e+03
0.002080 7.088192e+03  6.610820e+03 2.679265e+03
0.002100 7.154961e+03  6.674386e+03 2.705027e+03
0.002120 7.241004e+03  6.737952e+03 2.730789e+03
0.002140 7.303223e+03  6.801517e+03 2.756551e+03
0.002160 7.391386e+03  6.865083e+03 2.782313e+03
0.002180 7.470943e+03  6.928648e+03 2.808075e+03
