0.0000000E+00	7.3870302E-02
2.0426889E-04	3.3187393E+02
4.0631620E-04	8.0916882E+02
6.0804841E-04	1.1881717E+03
8.1075715E-04	1.5417529E+03
1.0141357E-03	1.8127547E+03
1.2019446E-03	2.0394723E+03
1.4052493E-03	2.2612225E+03
1.6083070E-03	2.5121632E+03
1.8110425E-03	2.7624439E+03
2.0134500E-03	3.0346700E+03
2.2154773E-03	3.2889805E+03
2.4015819E-03	3.5378137E+03
2.6027192E-03	3.7763505E+03
2.8032901E-03	4.0133704E+03
3.0032296E-03	4.2244634E+03
3.2024777E-03	4.4306683E+03
3.4009810E-03	4.6102176E+03
3.6138784E-03	4.7780091E+03
3.8107138E-03	4.9335010E+03
4.0066204E-03	5.0821940E+03
