0.002200 4.454238e+03  3.104494e+03 1.258204e+03
0.002220 4.485614e+03  3.132716e+03 1.269642e+03
0.002240 4.502243e+03  3.160939e+03 1.281080e+03
0.002260 4.543088e+03  3.189162e+03 1.292519e+03
0.002280 4.561527e+03  3.217384e+03 1.303957e+03
0.002300 4.574609e+03  3.245607e+03 1.315395e+03
0.002320 4.608624e+03  3.273830e+03 1.326833e+03
0.002340 4.621632e+03  3.302052e+03 1.338271e+03
0.002360 4.660685e+03  3.330275e+03 1.349710e+03
0.002380 4.676291e+03  3.358498e+03 1.361148e+03
0.002400 4.684215e+03  3.386721e+03 1.372586e+03
0.002420 4.715664e+03  3.414943e+03 1.384024e+03
0.002440 4.732449e+03  3.443166e+03 1.395463e+03
0.002460 4.760759e+03  3.471389e+03 1.406901e+03
0.002480 4.774629e+03  3.499611e+03 1.418339e+03
0.002500 4.783090e+03  3.527834e+03 1.429777e+03
0.002520 4.825819e+03  3.556057e+03 1.441215e+03
0.002540 4.847633e+03  3.584279e+03 1.452654e+03
0.002560 4.863406e+03  3.612502e+03 1.464092e+03
0.002580 4.899909e+03  3.640725e+03 1.475530e+03
0.002600 4.916122e+03  3.668947e+03 1.486968e+03
0.002620 4.958856e+03  3.697170e+03 1.498407e+03
0.002640 4.994378e+03  3.725393e+03 1.509845e+03
0.002660 5.015017e+03  3.753615e+03 1.521283e+03
0.002680 5.060006e+03  3.781838e+03 1.532721e+03
0.002700 5.080428e+03  3.810061e+03 1.544159e+03
0.002720 5.110614e+03  3.838283e+03 1.555598e+03
0.002740 5.167222e+03  3.866506e+03 1.567036e+03
0.002760 5.191760e+03  3.894729e+03 1.578474e+03
0.002780 5.231459e+03  3.922951e+03 1.589912e+03
0.002800 5.258604e+03  3.951174e+03 1.601350e+03
0.002820 5.286675e+03  3.979397e+03 1.612789e+03
0.002840 5.342316e+03  4.007619e+03 1.624227e+03
0.002860 5.362997e+03  4.035842e+03 1.635665e+03
0.002880 5.400688e+03  4.064065e+03 1.647103e+03
0.002900 5.423270e+03  4.092287e+03 1.658542e+03
0.002920 5.448462e+03  4.120510e+03 1.669980e+03
0.002940 5.500456e+03  4.148733e+03 1.681418e+03
0.002960 5.530612e+03  4.176955e+03 1.692856e+03
0.002980 5.547931e+03  4.205178e+03 1.704294e+03
0.003000 5.589331e+03  4.233401e+03 1.715733e+03
0.003020 5.610129e+03  4.261623e+03 1.727171e+03
0.003040 5.656608e+03  4.289846e+03 1.738609e+03
0.003060 5.694527e+03  4.318069e+03 1.750047e+03
0.003080 5.728117e+03  4.346291e+03 1.761486e+03
0.003100 5.774396e+03  4.374514e+03 1.772924e+03
0.003120 5.798498e+03  4.402737e+03 1.784362e+03
0.003140 5.819515e+03  4.430959e+03 1.795800e+03
0.003160 5.879757e+03  4.459182e+03 1.807238e+03
0.003180 5.913418e+03  4.487405e+03 1.818677e+03
0.003200 5.972980e+03  4.515627e+03 1.830115e+03
0.003220 6.006867e+03  4.543850e+03 1.841553e+03
0.003240 6.030642e+03  4.572073e+03 1.852991e+03
0.003260 6.078706e+03  4.600295e+03 1.864429e+03
0.003280 6.116937e+03  4.628518e+03 1.875868e+03
0.003300 6.174059e+03  4.656741e+03 1.887306e+03
0.003320 6.222492e+03  4.684963e+03 1.898744e+03
0.003340 6.246693e+03  4.713186e+03 1.910182e+03
0.003360 6.294363e+03  4.741409e+03 1.921621e+03
0.003380 6.321890e+03  4.769631e+03 1.933059e+03
0.003400 6.354534e+03  4.797854e+03 1.944497e+03
0.003420 6.420385e+03  4.826077e+03 1.955935e+03
0.003440 6.457006e+03  4.854299e+03 1.967373e+03
0.003460 6.511232e+03  4.882522e+03 1.978812e+03
0.003480 6.545687e+03  4.910745e+03 1.990250e+03
