0.000000 0.000000e+00  -0.000000e+00 -0.000000e+00
0.000020 2.140323e+02  1.585266e+01 6.424841e+00
0.000040 4.196057e+02  3.170532e+01 1.284968e+01
0.000060 5.601561e+02  4.755798e+01 1.927452e+01
0.000080 6.185481e+02  6.341064e+01 2.569937e+01
0.000100 6.706978e+02  7.926330e+01 3.212421e+01
0.000120 7.348320e+02  9.511597e+01 3.854905e+01
0.000140 7.940031e+02  1.109686e+02 4.497389e+01
0.000160 8.482082e+02  1.268213e+02 5.139873e+01
0.000180 9.082246e+02  1.426739e+02 5.782357e+01
0.000200 9.770469e+02  1.585266e+02 6.424841e+01
0.000220 1.036107e+03  1.743793e+02 7.067326e+01
0.000240 1.086272e+03  1.902319e+02 7.709810e+01
0.000260 1.146407e+03  2.060846e+02 8.352294e+01
0.000280 1.179099e+03  2.219373e+02 8.994778e+01
0.000300 1.202913e+03  2.377899e+02 9.637262e+01
0.000320 1.211567e+03  2.536426e+02 1.027975e+02
0.000340 1.225137e+03  2.694952e+02 1.092223e+02
0.000360 1.210639e+03  2.853479e+02 1.156471e+02
0.000380 1.188361e+03  3.012006e+02 1.220720e+02
0.000400 1.174283e+03  3.170532e+02 1.284968e+02
0.000420 1.141171e+03  3.329059e+02 1.349217e+02
0.000440 1.105642e+03  3.487585e+02 1.413465e+02
0.000460 1.073937e+03  3.646112e+02 1.477714e+02
0.000480 1.062112e+03  3.804639e+02 1.541962e+02
0.000500 1.043817e+03  3.963165e+02 1.606210e+02
0.000520 1.033725e+03  4.121692e+02 1.670459e+02
0.000540 1.051946e+03  4.280218e+02 1.734707e+02
0.000560 1.063349e+03  4.438745e+02 1.798956e+02
0.000580 1.086152e+03  4.597272e+02 1.863204e+02
0.000600 1.116665e+03  4.755798e+02 1.927452e+02
0.000620 1.169711e+03  4.914325e+02 1.991701e+02
0.000640 1.212666e+03  5.072851e+02 2.055949e+02
0.000660 1.258786e+03  5.231378e+02 2.120198e+02
0.000680 1.319363e+03  5.389905e+02 2.184446e+02
0.000700 1.363717e+03  5.548431e+02 2.248695e+02
0.000720 1.403450e+03  5.706958e+02 2.312943e+02
0.000740 1.438058e+03  5.865485e+02 2.377191e+02
0.000760 1.479627e+03  6.024011e+02 2.441440e+02
0.000780 1.501297e+03  6.182538e+02 2.505688e+02
0.000800 1.514530e+03  6.341064e+02 2.569937e+02
0.000820 1.538189e+03  6.499591e+02 2.634185e+02
0.000840 1.539437e+03  6.658118e+02 2.698433e+02
0.000860 1.537134e+03  6.816644e+02 2.762682e+02
0.000880 1.530338e+03  6.975171e+02 2.826930e+02
0.000900 1.538304e+03  7.133697e+02 2.891179e+02
0.000920 1.530393e+03  7.292224e+02 2.955427e+02
0.000940 1.523673e+03  7.450751e+02 3.019675e+02
0.000960 1.536128e+03  7.609277e+02 3.083924e+02
0.000980 1.535311e+03  7.767804e+02 3.148172e+02
0.001000 1.538198e+03  7.926330e+02 3.212421e+02
0.001020 1.547874e+03  8.084857e+02 3.276669e+02
0.001040 1.575167e+03  8.243384e+02 3.340918e+02
0.001060 1.591726e+03  8.401910e+02 3.405166e+02
0.001080 1.613067e+03  8.560437e+02 3.469414e+02
0.001100 1.653327e+03  8.718963e+02 3.533663e+02
0.001120 1.678712e+03  8.877490e+02 3.597911e+02
0.001140 1.708779e+03  9.036017e+02 3.662160e+02
0.001160 1.736628e+03  9.194543e+02 3.726408e+02
0.001180 1.780063e+03  9.353070e+02 3.790656e+02
0.001200 1.807453e+03  9.511597e+02 3.854905e+02
0.001220 1.835230e+03  9.670123e+02 3.919153e+02
0.001240 1.875737e+03  9.828650e+02 3.983402e+02
0.001260 1.896511e+03  9.987176e+02 4.047650e+02
0.001280 1.919224e+03  1.014570e+03 4.111899e+02
0.001300 1.934566e+03  1.030423e+03 4.176147e+02
0.001320 1.963718e+03  1.046276e+03 4.240395e+02
0.001340 1.975036e+03  1.062128e+03 4.304644e+02
0.001360 1.987761e+03  1.077981e+03 4.368892e+02
0.001380 2.013514e+03  1.093834e+03 4.433141e+02
0.001400 2.021018e+03  1.109686e+03 4.497389e+02
0.001420 2.032685e+03  1.125539e+03 4.561637e+02
0.001440 2.040374e+03  1.141392e+03 4.625886e+02
0.001460 2.065465e+03  1.157244e+03 4.690134e+02
0.001480 2.076032e+03  1.173097e+03 4.754383e+02
0.001500 2.090239e+03  1.188950e+03 4.818631e+02
0.001520 2.122344e+03  1.204802e+03 4.882880e+02
0.001540 2.137279e+03  1.220655e+03 4.947128e+02
0.001560 2.158306e+03  1.236508e+03 5.011376e+02
0.001580 2.176549e+03  1.252360e+03 5.075625e+02
0.001600 2.213833e+03  1.268213e+03 5.139873e+02
0.001620 2.235162e+03  1.284066e+03 5.204122e+02
0.001640 2.259894e+03  1.299918e+03 5.268370e+02
0.001660 2.300647e+03  1.315771e+03 5.332618e+02
0.001680 2.323227e+03  1.331624e+03 5.396867e+02
0.001700 2.348963e+03  1.347476e+03 5.461115e+02
0.001720 2.370633e+03  1.363329e+03 5.525364e+02
0.001740 2.408036e+03  1.379181e+03 5.589612e+02
0.001760 2.428467e+03  1.395034e+03 5.653860e+02
0.001780 2.449734e+03  1.410887e+03 5.718109e+02
0.001800 2.486591e+03  1.426739e+03 5.782357e+02
0.001820 2.502835e+03  1.442592e+03 5.846606e+02
0.001840 2.523332e+03  1.458445e+03 5.910854e+02
0.001860 2.537917e+03  1.474297e+03 5.975103e+02
0.001880 2.570256e+03  1.490150e+03 6.039351e+02
0.001900 2.584777e+03  1.506003e+03 6.103599e+02
0.001920 2.602554e+03  1.521855e+03 6.167848e+02
0.001940 2.636334e+03  1.537708e+03 6.232096e+02
0.001960 2.651666e+03  1.553561e+03 6.296345e+02
0.001980 2.671318e+03  1.569413e+03 6.360593e+02
0.002000 2.687836e+03  1.585266e+03 6.424841e+02
0.002020 2.722579e+03  1.601119e+03 6.489090e+02
0.002040 2.741329e+03  1.616971e+03 6.553338e+02
0.002060 2.762656e+03  1.632824e+03 6.617587e+02
0.002080 2.797530e+03  1.648677e+03 6.681835e+02
0.002100 2.811188e+03  1.664529e+03 6.746084e+02
0.002120 2.820835e+03  1.680382e+03 6.810332e+02
0.002140 2.826011e+03  1.696235e+03 6.874580e+02
0.002160 2.852759e+03  1.712087e+03 6.938829e+02
0.002180 2.868691e+03  1.727940e+03 7.003077e+02
0.002200 2.877822e+03  1.743793e+03 7.067326e+02
0.002220 2.901487e+03  1.759645e+03 7.131574e+02
0.002240 2.904458e+03  1.775498e+03 7.195822e+02
0.002260 2.919162e+03  1.791351e+03 7.260071e+02
0.002280 2.930933e+03  1.807203e+03 7.324319e+02
0.002300 2.952570e+03  1.823056e+03 7.388568e+02
0.002320 2.950480e+03  1.838909e+03 7.452816e+02
0.002340 2.953193e+03  1.854761e+03 7.517065e+02
0.002360 2.979775e+03  1.870614e+03 7.581313e+02
0.002380 2.990216e+03  1.886467e+03 7.645561e+02
0.002400 3.006159e+03  1.902319e+03 7.709810e+02
0.002420 3.007241e+03  1.918172e+03 7.774058e+02
0.002440 3.024829e+03  1.934025e+03 7.838307e+02
0.002460 3.027052e+03  1.949877e+03 7.902555e+02
0.002480 3.040333e+03  1.965730e+03 7.966803e+02
0.002500 3.076024e+03  1.981583e+03 8.031052e+02
0.002520 3.094117e+03  1.997435e+03 8.095300e+02
0.002540 3.105246e+03  2.013288e+03 8.159549e+02
0.002560 3.111323e+03  2.029141e+03 8.223797e+02
0.002580 3.138621e+03  2.044993e+03 8.288045e+02
0.002600 3.156679e+03  2.060846e+03 8.352294e+02
0.002620 3.178963e+03  2.076699e+03 8.416542e+02
0.002640 3.223408e+03  2.092551e+03 8.480791e+02
0.002660 3.234159e+03  2.108404e+03 8.545039e+02
0.002680 3.246671e+03  2.124257e+03 8.609288e+02
0.002700 3.255360e+03  2.140109e+03 8.673536e+02
0.002720 3.292294e+03  2.155962e+03 8.737784e+02
0.002740 3.311171e+03  2.171815e+03 8.802033e+02
0.002760 3.334232e+03  2.187667e+03 8.866281e+02
0.002780 3.373340e+03  2.203520e+03 8.930530e+02
0.002800 3.381898e+03  2.219373e+03 8.994778e+02
0.002820 3.388690e+03  2.235225e+03 9.059026e+02
0.002840 3.395206e+03  2.251078e+03 9.123275e+02
0.002860 3.427112e+03  2.266931e+03 9.187523e+02
0.002880 3.444308e+03  2.282783e+03 9.251772e+02
0.002900 3.463556e+03  2.298636e+03 9.316020e+02
0.002920 3.502818e+03  2.314488e+03 9.380269e+02
0.002940 3.519970e+03  2.330341e+03 9.444517e+02
0.002960 3.531808e+03  2.346194e+03 9.508765e+02
0.002980 3.537121e+03  2.362046e+03 9.573014e+02
0.003000 3.565616e+03  2.377899e+03 9.637262e+02
