0.002200 2.861757e+03  1.743793e+03 7.067326e+02
0.002220 2.886634e+03  1.759645e+03 7.131574e+02
0.002240 2.897433e+03  1.775498e+03 7.195822e+02
0.002260 2.914185e+03  1.791351e+03 7.260071e+02
0.002280 2.916875e+03  1.807203e+03 7.324319e+02
0.002300 2.932413e+03  1.823056e+03 7.388568e+02
0.002320 2.932125e+03  1.838909e+03 7.452816e+02
0.002340 2.940673e+03  1.854761e+03 7.517065e+02
0.002360 2.970818e+03  1.870614e+03 7.581313e+02
0.002380 2.970980e+03  1.886467e+03 7.645561e+02
0.002400 2.971685e+03  1.902319e+03 7.709810e+02
0.002420 2.970131e+03  1.918172e+03 7.774058e+02
0.002440 2.996214e+03  1.934025e+03 7.838307e+02
0.002460 3.008472e+03  1.949877e+03 7.902555e+02
0.002480 3.025989e+03  1.965730e+03 7.966803e+02
0.002500 3.051146e+03  1.981583e+03 8.031052e+02
0.002520 3.054364e+03  1.997435e+03 8.095300e+02
0.002540 3.063544e+03  2.013288e+03 8.159549e+02
0.002560 3.079093e+03  2.029141e+03 8.223797e+02
0.002580 3.117152e+03  2.044993e+03 8.288045e+02
0.002600 3.140378e+03  2.060846e+03 8.352294e+02
0.002620 3.153051e+03  2.076699e+03 8.416542e+02
0.002640 3.183583e+03  2.092551e+03 8.480791e+02
0.002660 3.193171e+03  2.108404e+03 8.545039e+02
0.002680 3.215374e+03  2.124257e+03 8.609288e+02
0.002700 3.235138e+03  2.140109e+03 8.673536e+02
0.002720 3.277338e+03  2.155962e+03 8.737784e+02
0.002740 3.297159e+03  2.171815e+03 8.802033e+02
0.002760 3.319858e+03  2.187667e+03 8.866281e+02
0.002780 3.349364e+03  2.203520e+03 8.930530e+02
0.002800 3.355852e+03  2.219373e+03 8.994778e+02
0.002820 3.365163e+03  2.235225e+03 9.059026e+02
0.002840 3.379655e+03  2.251078e+03 9.123275e+02
0.002860 3.414827e+03  2.266931e+03 9.187523e+02
0.002880 3.434344e+03  2.282783e+03 9.251772e+02
0.002900 3.452411e+03  2.298636e+03 9.316020e+02
0.002920 3.482144e+03  2.314488e+03 9.380269e+02
0.002940 3.485079e+03  2.330341e+03 9.444517e+02
0.002960 3.496346e+03  2.346194e+03 9.508765e+02
0.002980 3.509886e+03  2.362046e+03 9.573014e+02
0.003000 3.549044e+03  2.377899e+03 9.637262e+02
0.003020 3.572818e+03  2.393752e+03 9.701511e+02
0.003040 3.595828e+03  2.409604e+03 9.765759e+02
0.003060 3.638739e+03  2.425457e+03 9.830007e+02
0.003080 3.653493e+03  2.441310e+03 9.894256e+02
0.003100 3.665972e+03  2.457162e+03 9.958504e+02
0.003120 3.677368e+03  2.473015e+03 1.002275e+03
0.003140 3.719749e+03  2.488868e+03 1.008700e+03
0.003160 3.742995e+03  2.504720e+03 1.015125e+03
0.003180 3.769326e+03  2.520573e+03 1.021550e+03
0.003200 3.814900e+03  2.536426e+03 1.027975e+03
0.003220 3.841733e+03  2.552278e+03 1.034399e+03
0.003240 3.868797e+03  2.568131e+03 1.040824e+03
0.003260 3.882132e+03  2.583984e+03 1.047249e+03
0.003280 3.916055e+03  2.599836e+03 1.053674e+03
0.003300 3.928560e+03  2.615689e+03 1.060099e+03
