0.000000 0.000000e+00  -0.000000e+00 -0.000000e+00
0.000020 2.860169e+02  2.822267e+01 1.143822e+01
0.000040 5.611396e+02  5.644534e+01 2.287644e+01
0.000060 7.466031e+02  8.466801e+01 3.431465e+01
0.000080 8.250656e+02  1.128907e+02 4.575287e+01
0.000100 8.950900e+02  1.411134e+02 5.719109e+01
0.000120 9.756513e+02  1.693360e+02 6.862931e+01
0.000140 1.055340e+03  1.975587e+02 8.006752e+01
0.000160 1.142525e+03  2.257814e+02 9.150574e+01
0.000180 1.223790e+03  2.540040e+02 1.029440e+02
0.000200 1.300261e+03  2.822267e+02 1.143822e+02
0.000220 1.393229e+03  3.104494e+02 1.258204e+02
0.000240 1.462309e+03  3.386721e+02 1.372586e+02
0.000260 1.539682e+03  3.668947e+02 1.486968e+02
0.000280 1.585879e+03  3.951174e+02 1.601350e+02
0.000300 1.620710e+03  4.233401e+02 1.715733e+02
0.000320 1.649943e+03  4.515627e+02 1.830115e+02
0.000340 1.652655e+03  4.797854e+02 1.944497e+02
0.000360 1.637185e+03  5.080081e+02 2.058879e+02
0.000380 1.628374e+03  5.362307e+02 2.173261e+02
0.000400 1.591766e+03  5.644534e+02 2.287644e+02
0.000420 1.567552e+03  5.926761e+02 2.402026e+02
0.000440 1.525374e+03  6.208988e+02 2.516408e+02
0.000460 1.488358e+03  6.491214e+02 2.630790e+02
0.000480 1.473361e+03  6.773441e+02 2.745172e+02
0.000500 1.453802e+03  7.055668e+02 2.859554e+02
0.000520 1.460307e+03  7.337894e+02 2.973937e+02
0.000540 1.467325e+03  7.620121e+02 3.088319e+02
0.000560 1.486943e+03  7.902348e+02 3.202701e+02
0.000580 1.537218e+03  8.184575e+02 3.317083e+02
0.000600 1.581975e+03  8.466801e+02 3.431465e+02
0.000620 1.637209e+03  8.749028e+02 3.545847e+02
0.000640 1.712226e+03  9.031255e+02 3.660230e+02
0.000660 1.777203e+03  9.313481e+02 3.774612e+02
0.000680 1.856547e+03  9.595708e+02 3.888994e+02
0.000700 1.919033e+03  9.877935e+02 4.003376e+02
0.000720 1.974976e+03  1.016016e+03 4.117758e+02
0.000740 2.039322e+03  1.044239e+03 4.232141e+02
0.000760 2.079633e+03  1.072461e+03 4.346523e+02
0.000780 2.111667e+03  1.100684e+03 4.460905e+02
0.000800 2.149495e+03  1.128907e+03 4.575287e+02
0.000820 2.163839e+03  1.157130e+03 4.689669e+02
0.000840 2.184866e+03  1.185352e+03 4.804051e+02
0.000860 2.186111e+03  1.213575e+03 4.918434e+02
0.000880 2.182402e+03  1.241798e+03 5.032816e+02
0.000900 2.194059e+03  1.270020e+03 5.147198e+02
0.000920 2.188201e+03  1.298243e+03 5.261580e+02
0.000940 2.200444e+03  1.326466e+03 5.375962e+02
0.000960 2.199643e+03  1.354688e+03 5.490344e+02
0.000980 2.203902e+03  1.382911e+03 5.604727e+02
0.001000 2.229951e+03  1.411134e+03 5.719109e+02
0.001020 2.249180e+03  1.439356e+03 5.833491e+02
0.001040 2.269643e+03  1.467579e+03 5.947873e+02
0.001060 2.315364e+03  1.495802e+03 6.062255e+02
0.001080 2.346371e+03  1.524024e+03 6.176638e+02
0.001100 2.399207e+03  1.552247e+03 6.291020e+02
0.001120 2.441116e+03  1.580470e+03 6.405402e+02
0.001140 2.481751e+03  1.608692e+03 6.519784e+02
0.001160 2.542383e+03  1.636915e+03 6.634166e+02
0.001180 2.583887e+03  1.665138e+03 6.748548e+02
0.001200 2.624125e+03  1.693360e+03 6.862931e+02
0.001220 2.683617e+03  1.721583e+03 6.977313e+02
0.001240 2.719062e+03  1.749806e+03 7.091695e+02
0.001260 2.767126e+03  1.778028e+03 7.206077e+02
0.001280 2.800316e+03  1.806251e+03 7.320459e+02
0.001300 2.825642e+03  1.834474e+03 7.434842e+02
0.001320 2.870560e+03  1.862696e+03 7.549224e+02
0.001340 2.889743e+03  1.890919e+03 7.663606e+02
0.001360 2.923289e+03  1.919142e+03 7.777988e+02
0.001380 2.943797e+03  1.947364e+03 7.892370e+02
0.001400 2.958671e+03  1.975587e+03 8.006752e+02
0.001420 2.996563e+03  2.003810e+03 8.121135e+02
0.001440 3.012201e+03  2.032032e+03 8.235517e+02
0.001460 3.028645e+03  2.060255e+03 8.349899e+02
0.001480 3.068559e+03  2.088478e+03 8.464281e+02
0.001500 3.088712e+03  2.116700e+03 8.578663e+02
0.001520 3.130207e+03  2.144923e+03 8.693045e+02
0.001540 3.160297e+03  2.173146e+03 8.807428e+02
0.001560 3.188701e+03  2.201368e+03 8.921810e+02
0.001580 3.239276e+03  2.229591e+03 9.036192e+02
0.001600 3.271619e+03  2.257814e+03 9.150574e+02
0.001620 3.304893e+03  2.286036e+03 9.264956e+02
0.001640 3.362765e+03  2.314259e+03 9.379339e+02
0.001660 3.397387e+03  2.342482e+03 9.493721e+02
0.001680 3.450101e+03  2.370704e+03 9.608103e+02
0.001700 3.488668e+03  2.398927e+03 9.722485e+02
0.001720 3.523231e+03  2.427150e+03 9.836867e+02
0.001740 3.579078e+03  2.455372e+03 9.951249e+02
0.001760 3.611049e+03  2.483595e+03 1.006563e+03
0.001780 3.658095e+03  2.511818e+03 1.018001e+03
0.001800 3.691941e+03  2.540040e+03 1.029440e+03
0.001820 3.718810e+03  2.568263e+03 1.040878e+03
0.001840 3.769741e+03  2.596486e+03 1.052316e+03
0.001860 3.794697e+03  2.624708e+03 1.063754e+03
0.001880 3.819967e+03  2.652931e+03 1.075192e+03
0.001900 3.866161e+03  2.681154e+03 1.086631e+03
0.001920 3.890933e+03  2.709376e+03 1.098069e+03
0.001940 3.934318e+03  2.737599e+03 1.109507e+03
0.001960 3.965639e+03  2.765822e+03 1.120945e+03
0.001980 3.991695e+03  2.794044e+03 1.132384e+03
0.002000 4.041598e+03  2.822267e+03 1.143822e+03
0.002020 4.069522e+03  2.850490e+03 1.155260e+03
0.002040 4.118790e+03  2.878712e+03 1.166698e+03
0.002060 4.154415e+03  2.906935e+03 1.178136e+03
0.002080 4.186450e+03  2.935158e+03 1.189575e+03
0.002100 4.236657e+03  2.963380e+03 1.201013e+03
0.002120 4.275030e+03  2.991603e+03 1.212451e+03
0.002140 4.308621e+03  3.019826e+03 1.223889e+03
0.002160 4.367670e+03  3.048048e+03 1.235328e+03
0.002180 4.401302e+03  3.076271e+03 1.246766e+03
0.002200 4.448458e+03  3.104494e+03 1.258204e+03
0.002220 4.468624e+03  3.132716e+03 1.269642e+03
0.002240 4.481807e+03  3.160939e+03 1.281080e+03
0.002260 4.524195e+03  3.189162e+03 1.292519e+03
0.002280 4.537672e+03  3.217384e+03 1.303957e+03
0.002300 4.549299e+03  3.245607e+03 1.315395e+03
0.002320 4.586219e+03  3.273830e+03 1.326833e+03
0.002340 4.593028e+03  3.302052e+03 1.338271e+03
0.002360 4.619345e+03  3.330275e+03 1.349710e+03
0.002380 4.633682e+03  3.358498e+03 1.361148e+03
0.002400 4.650084e+03  3.386721e+03 1.372586e+03
0.002420 4.679968e+03  3.414943e+03 1.384024e+03
0.002440 4.685324e+03  3.443166e+03 1.395463e+03
0.002460 4.711560e+03  3.471389e+03 1.406901e+03
0.002480 4.733385e+03  3.499611e+03 1.418339e+03
0.002500 4.752497e+03  3.527834e+03 1.429777e+03
0.002520 4.788442e+03  3.556057e+03 1.441215e+03
0.002540 4.795977e+03  3.584279e+03 1.452654e+03
0.002560 4.809136e+03  3.612502e+03 1.464092e+03
0.002580 4.856107e+03  3.640725e+03 1.475530e+03
0.002600 4.872775e+03  3.668947e+03 1.486968e+03
0.002620 4.907005e+03  3.697170e+03 1.498407e+03
0.002640 4.930563e+03  3.725393e+03 1.509845e+03
0.002660 4.957671e+03  3.753615e+03 1.521283e+03
0.002680 5.016037e+03  3.781838e+03 1.532721e+03
0.002700 5.050845e+03  3.810061e+03 1.544159e+03
0.002720 5.074139e+03  3.838283e+03 1.555598e+03
0.002740 5.118055e+03  3.866506e+03 1.567036e+03
0.002760 5.140042e+03  3.894729e+03 1.578474e+03
0.002780 5.191418e+03  3.922951e+03 1.589912e+03
0.002800 5.229598e+03  3.951174e+03 1.601350e+03
0.002820 5.253175e+03  3.979397e+03 1.612789e+03
0.002840 5.294174e+03  4.007619e+03 1.624227e+03
0.002860 5.313388e+03  4.035842e+03 1.635665e+03
0.002880 5.360214e+03  4.064065e+03 1.647103e+03
0.002900 5.394647e+03  4.092287e+03 1.658542e+03
0.002920 5.413305e+03  4.120510e+03 1.669980e+03
0.002940 5.451414e+03  4.148733e+03 1.681418e+03
0.002960 5.467262e+03  4.176955e+03 1.692856e+03
0.002980 5.491299e+03  4.205178e+03 1.704294e+03
0.003000 5.545090e+03  4.233401e+03 1.715733e+03
0.003020 5.579123e+03  4.261623e+03 1.727171e+03
0.003040 5.616766e+03  4.289846e+03 1.738609e+03
0.003060 5.641016e+03  4.318069e+03 1.750047e+03
0.003080 5.659542e+03  4.346291e+03 1.761486e+03
0.003100 5.713821e+03  4.374514e+03 1.772924e+03
0.003120 5.749761e+03  4.402737e+03 1.784362e+03
0.003140 5.785283e+03  4.430959e+03 1.795800e+03
0.003160 5.836014e+03  4.459182e+03 1.807238e+03
0.003180 5.857304e+03  4.487405e+03 1.818677e+03
0.003200 5.901802e+03  4.515627e+03 1.830115e+03
0.003220 5.944562e+03  4.543850e+03 1.841553e+03
0.003240 5.980379e+03  4.572073e+03 1.852991e+03
0.003260 6.043481e+03  4.600295e+03 1.864429e+03
0.003280 6.083731e+03  4.628518e+03 1.875868e+03
0.003300 6.132666e+03  4.656741e+03 1.887306e+03
0.003320 6.164367e+03  4.684963e+03 1.898744e+03
0.003340 6.190570e+03  4.713186e+03 1.910182e+03
0.003360 6.247494e+03  4.741409e+03 1.921621e+03
0.003380 6.288778e+03  4.769631e+03 1.933059e+03
0.003400 6.325418e+03  4.797854e+03 1.944497e+03
0.003420 6.382637e+03  4.826077e+03 1.955935e+03
0.003440 6.403231e+03  4.854299e+03 1.967373e+03
0.003460 6.447146e+03  4.882522e+03 1.978812e+03
0.003480 6.487605e+03  4.910745e+03 1.990250e+03
0.003500 6.522583e+03  4.938967e+03 2.001688e+03
0.003520 6.585494e+03  4.967190e+03 2.013126e+03
0.003540 6.625927e+03  4.995413e+03 2.024565e+03
0.003560 6.670837e+03  5.023635e+03 2.036003e+03
0.003580 6.702098e+03  5.051858e+03 2.047441e+03
0.003600 6.726622e+03  5.080081e+03 2.058879e+03
0.003620 6.782027e+03  5.108303e+03 2.070317e+03
0.003640 6.829307e+03  5.136526e+03 2.081756e+03
0.003660 6.868547e+03  5.164749e+03 2.093194e+03
0.003680 6.931568e+03  5.192971e+03 2.104632e+03
0.003700 6.976221e+03  5.221194e+03 2.116070e+03
0.003720 7.026971e+03  5.249417e+03 2.127508e+03
0.003740 7.064575e+03  5.277639e+03 2.138947e+03
0.003760 7.092953e+03  5.305862e+03 2.150385e+03
0.003780 7.155929e+03  5.334085e+03 2.161823e+03
0.003800 7.200934e+03  5.362307e+03 2.173261e+03
0.003820 7.243612e+03  5.390530e+03 2.184700e+03
0.003840 7.317379e+03  5.418753e+03 2.196138e+03
0.003860 7.347889e+03  5.446975e+03 2.207576e+03
0.003880 7.394846e+03  5.475198e+03 2.219014e+03
0.003900 7.434722e+03  5.503421e+03 2.230452e+03
0.003920 7.471083e+03  5.531644e+03 2.241891e+03
0.003940 7.538759e+03  5.559866e+03 2.253329e+03
