0.0000000E+00	9.6144954E-02
2.0426889E-04	4.4298791E+02
4.0631620E-04	1.0905697E+03
6.0804841E-04	1.6300281E+03
8.1075715E-04	2.1464000E+03
1.0141357E-03	2.5487044E+03
1.2019446E-03	2.8592520E+03
1.4052493E-03	3.2023597E+03
1.6083070E-03	3.5515880E+03
1.8110425E-03	3.9026638E+03
2.0134500E-03	4.2643660E+03
2.2154773E-03	4.6325358E+03
2.4015819E-03	5.0012895E+03
2.6027192E-03	5.3644311E+03
2.8032901E-03	5.7172071E+03
3.0032296E-03	6.0828063E+03
3.2024777E-03	6.3996543E+03
3.4009810E-03	6.7356520E+03
3.6138784E-03	7.0422627E+03
3.8107138E-03	7.3386382E+03
4.0066204E-03	7.6362098E+03
